equipo_id,linea_produccion,voltaje_v,corriente_a,potencia_kw,energia_kwh,horas_activas,temperatura_c,factor_potencia,eficiencia_porcentual,fallas_detectadas,costo_energia_usd,fecha_registro
EQ_039,Línea A,223.44,8.14,1.57,9.06,10.03,51.05,0.9099554896863286,72.21,1,1.33,2024-06-24
EQ_029,Línea A,217.71,7.85,1.62,7.21,6.03,39.08,0.9026624360709841,82.54,0,1.02,2024-03-13
EQ_015,Línea A,207.84,3.79,0.7,4.23,11.16,41.33,0.9080369897665272,89.51,3,0.6,2024-12-21
EQ_043,Línea B,232.93,3.64,0.69,5.67,8.59,58.11,0.9535371912716444,94.71,0,0.82,2024-01-29
EQ_008,Línea A,229.79,0.13,0.03,0.16,6.81,35.09,0.9058955358662377,66.3,0,0.02,2024-06-05
EQ_021,Línea B,191.61,4.34,0.73,3.9,10.66,35.08,0.9173880456618331,90.69,1,0.41,2024-11-09
EQ_039,Línea B,215.75,8.04,1.49,11.47,7.95,63.05,0.9615526445619478,91.89,2,1.31,2024-10-30
EQ_019,Línea C,206.77,8.47,1.52,6.48,11.29,43.54,0.8887081922383132,80.54,2,0.86,2024-10-05
EQ_023,Línea D,214.14,8.61,1.58,7.86,11.42,57.47,0.9895576992710882,85.73,3,1.12,2024-10-09
EQ_011,Línea D,209.94,5.67,0.96,7.03,5.32,29.01,0.9516544503663289,60.58,0,0.82,2024-01-07
EQ_011,Línea B,219.3,7.95,1.62,7.3,4.02,29.81,0.8271189685329843,63.02,1,0.89,2024-10-31
EQ_024,Línea C,215.05,9.19,1.82,13.06,11.87,35.87,0.8942322901735817,93.87,1,1.91,2024-06-30
EQ_036,Línea B,214.73,4.2,0.84,6.55,11.25,40.19,0.8187828250896946,80.69,3,0.63,2024-04-18
EQ_040,Línea B,236.61,8.37,1.66,12.63,4.44,30.97,0.91016603008566,82.23,0,1.79,2024-11-19
EQ_024,Línea B,228.36,9.97,1.96,21.47,10.66,48.69,0.8950844447939732,86.88,3,2.14,2024-07-24
EQ_003,Línea C,209.44,6.53,1.26,10.38,7.66,49.35,0.9617427379600094,82.07,2,1.24,2024-08-21
EQ_022,Línea D,211.67,11.19,2.18,16.88,6.07,36.02,0.8759490825522334,81.33,2,1.74,2024-07-05
EQ_002,Línea C,227.38,6.6,1.35,9.84,11.03,36.81,0.9393867500967246,88.16,0,1.24,2024-11-24
EQ_024,Línea A,227.36,5.42,1.07,11.28,5.57,38.13,0.9484423804734218,73.04,1,1.39,2024-12-22
EQ_044,Línea C,210.94,9.67,2.0,22.32,11.58,33.35,0.9328597426114007,94.28,4,2.52,2024-01-08
EQ_030,Línea C,216.49,14.1,2.65,28.69,5.64,16.04,0.9770061790886264,83.16,0,4.07,2024-02-22
EQ_038,Línea C,247.7,8.26,1.82,17.09,8.91,44.15,1.0,76.95,1,2.21,2024-07-17
EQ_002,Línea C,211.2,9.9,1.96,9.99,5.78,40.7,0.9255970971349534,75.88,2,1.33,2024-05-16
EQ_021,Línea D,248.66,6.47,1.46,9.07,8.37,41.72,0.9402589758445185,85.34,1,0.9,2024-09-15
EQ_033,Línea A,236.56,4.28,0.88,3.84,9.47,34.88,0.8759861523083945,82.55,1,0.55,2024-11-29
EQ_012,Línea D,245.88,8.5,1.85,21.18,5.52,53.1,0.8690238292988379,72.61,3,2.12,2024-06-20
EQ_022,Línea D,210.56,8.97,1.81,16.81,8.17,69.25,0.9716914825166364,80.19,0,1.74,2024-03-26
EQ_044,Línea C,217.47,6.93,1.29,12.86,7.75,36.66,0.9650762753051679,78.53,3,1.26,2024-02-15
EQ_025,Línea B,213.26,9.89,1.75,11.36,4.57,59.0,0.8685190062914369,95.09,1,1.32,2024-12-11
EQ_049,Línea B,236.9,6.04,1.23,13.24,10.55,48.67,0.8545889728745264,86.04,2,1.9,2024-07-04
EQ_027,Línea D,211.48,5.29,1.09,6.62,6.69,45.35,0.8875631597659706,97.55,1,0.7,2024-06-04
EQ_042,Línea D,230.97,11.18,2.11,8.47,8.6,41.56,0.9129311015282945,79.32,1,0.95,2024-01-09
EQ_028,Línea C,230.17,11.2,2.57,18.02,8.12,44.17,0.8995436795758378,82.67,4,2.54,2024-04-24
EQ_016,Línea D,219.28,6.1,1.21,10.36,8.11,56.5,0.9280257434166127,88.09,0,1.32,2024-06-02
EQ_015,Línea C,239.48,13.16,3.14,24.59,4.86,33.62,0.9658531256186303,89.83,1,3.32,2024-05-09
EQ_047,Línea B,221.62,7.14,1.56,17.0,7.39,42.25,0.9431052189377469,90.77,2,1.75,2024-11-26
EQ_044,Línea B,232.51,8.25,1.71,8.28,7.62,57.49,0.9468060498842062,77.9,0,1.1,2024-03-21
EQ_003,Línea A,212.58,7.75,1.38,11.63,9.87,54.84,0.7974231802795562,78.12,1,1.21,2024-10-16
EQ_037,Línea B,209.15,9.57,1.67,13.53,10.72,33.77,0.8393048489940459,82.16,1,2.02,2024-05-26
EQ_007,Línea D,230.97,8.81,1.73,10.81,8.36,43.17,0.8801771596176972,96.85,1,1.34,2024-10-21
EQ_021,Línea B,226.46,8.77,1.87,19.78,4.69,52.28,0.8884303175920247,76.99,1,2.61,2024-09-25
EQ_009,Línea C,223.65,4.94,0.94,9.42,5.89,51.63,0.9619913917469617,80.78,0,0.91,2024-05-12
EQ_039,Línea B,214.84,2.93,0.55,5.42,5.32,54.75,0.8760549284265935,90.84,1,0.57,2024-02-19
EQ_018,Línea A,243.24,11.43,2.47,27.19,5.0,48.84,0.9533463830678685,90.41,0,2.68,2024-01-23
EQ_004,Línea B,203.25,6.36,1.27,12.42,6.93,50.52,0.8807447130596852,89.44,0,1.41,2024-03-28
EQ_025,Línea C,202.43,7.85,1.33,7.79,5.84,48.43,0.8599557856303592,85.65,3,0.83,2024-04-21
EQ_014,Línea C,234.13,8.98,1.68,16.2,5.75,60.8,0.8622775170478104,76.48,1,2.17,2024-04-20
EQ_050,Línea D,232.9,12.89,2.44,15.77,4.44,40.78,1.0,79.47,1,1.52,2024-03-12
EQ_009,Línea B,225.31,8.48,1.87,11.1,4.14,45.48,0.8796317515745004,94.01,1,1.5,2024-06-02
EQ_026,Línea C,215.68,6.82,1.37,6.28,4.82,34.85,0.9545493604430171,91.19,0,0.58,2024-02-26
EQ_002,Línea A,227.54,6.43,1.25,12.44,5.38,32.88,0.8420900785124901,74.32,0,1.27,2024-09-13
EQ_020,Línea D,245.81,7.89,1.62,15.69,7.45,48.25,0.9909464502089368,91.96,0,2.16,2024-06-04
EQ_028,Línea A,257.73,5.27,1.17,6.87,8.08,37.76,0.9374520572531857,95.47,1,0.92,2024-04-22
EQ_047,Línea B,195.15,8.09,1.3,12.99,5.12,44.42,0.9336989434396444,85.43,1,1.54,2024-11-13
EQ_007,Línea B,213.72,7.84,1.66,18.83,7.4,61.18,0.940691366157166,88.41,0,1.75,2024-02-16
EQ_044,Línea B,212.77,12.92,2.63,12.79,6.73,60.6,0.9461999862222675,93.09,2,1.62,2024-08-25
EQ_008,Línea D,244.4,7.75,1.69,9.91,5.47,67.24,0.960453362942244,79.43,2,1.13,2024-11-29
EQ_047,Línea C,182.78,2.23,0.4,4.0,4.05,61.38,0.8900451290895486,100.0,1,0.44,2024-04-15
EQ_035,Línea D,227.71,16.02,3.1,19.21,7.74,69.03,0.8871205853113939,94.78,2,2.47,2024-07-05
EQ_014,Línea A,216.15,10.87,2.22,19.97,9.49,49.37,0.9224611939024034,89.19,2,2.32,2024-06-07
EQ_017,Línea D,244.57,14.25,3.38,15.71,5.81,35.97,0.9542213880209155,84.72,0,1.5,2024-07-16
EQ_036,Línea A,242.52,4.53,0.96,7.31,5.05,35.0,0.9166672261888755,88.96,1,1.06,2024-06-25
EQ_050,Línea D,225.48,7.33,1.57,15.56,11.1,58.96,0.9586950897899552,72.52,1,2.13,2024-09-17
EQ_040,Línea C,196.3,10.02,1.69,16.04,6.2,45.52,0.9508918391350959,100.0,1,1.5,2024-10-13
EQ_004,Línea A,211.39,9.61,1.75,18.41,5.79,46.26,0.9091508369291987,94.03,2,2.24,2024-10-19
EQ_002,Línea B,213.03,8.92,1.56,17.19,10.86,39.51,0.8326410015109575,96.71,3,1.63,2024-11-30
EQ_006,Línea B,200.1,1.4,0.25,2.55,10.54,40.71,0.8948236027323044,85.25,1,0.36,2024-05-22
EQ_042,Línea D,237.32,2.86,0.64,6.0,7.59,48.84,1.0,82.12,1,0.76,2024-11-03
EQ_004,Línea B,198.2,12.55,2.46,10.46,7.91,34.45,0.937002982535285,79.61,3,1.05,2024-07-15
